"game_id","nickname","score","rating"
1,"BetterBot",335,1637
1,"stevy",429,1500
3,"davidavid",440,1811
3,"BetterBot",318,2071
4,"Inandoutworker",119,1473
4,"BetterBot",478,1936
5,"stevy",325,1500
5,"STEEBot",427,1844
6,"HivinD",378,2029
6,"STEEBot",427,2143
8,"HastyBot",528,2244
8,"AliSalman1",414,2067
9,"cccc",364,1641
9,"BetterBot",464,1624
10,"BetterBot",415,1972
10,"squashy",299,1838
12,"BB-8",351,1500
12,"HastyBot",408,1614
13,"Trayz",434,2017
13,"STEEBot",381,2122
15,"STEEBot",451,2155
15,"meetsumeet",403,1863
16,"BetterBot",385,1927
16,"Mimix",418,1829
17,"HastyBot",518,1615
17,"BB-8",280,1500
18,"PVMG",332,1948
18,"BetterBot",419,1907
19,"HivinD",380,2151
19,"STEEBot",471,2259
20,"Favournew",356,1851
20,"STEEBot",389,2095
21,"BB-8",334,1500
21,"HastyBot",360,1664
22,"HastyBot",426,2183
22,"NoelL",458,2056
23,"pandorable",359,1674
23,"BetterBot",371,1832
24,"Avyze",476,2099
24,"STEEBot",382,2221
25,"HastyBot",404,2318
25,"wagyus",574,2072
26,"HivinD",372,2086
26,"STEEBot",427,2096
29,"HastyBot",471,2335
29,"wagyus",451,2083
30,"ji1222",444,1712
30,"HastyBot",467,2202
31,"STEEBot",421,2213
31,"AWFUL",419,2138
33,"STEEBot",377,1811
33,"Hercules",451,1853
34,"BetterBot",425,1735
34,"stevy",354,1500
35,"STEEBot",445,2183
35,"Olympicnaija",406,1947
36,"TrentonTron",517,1956
36,"HastyBot",379,2143
37,"derickalim",387,1890
37,"BetterBot",318,2008
38,"shcheah",441,2067
38,"HastyBot",433,2238
39,"ji1222",486,1712
39,"HastyBot",414,2150
42,"STEEBot",466,2154
42,"DDarien",365,1884
43,"HastyBot",486,2024
43,"chloe",416,1873
45,"stevy",355,1500
45,"STEEBot",442,1874
46,"BetterBot",307,2075
46,"Kathleen3",526,1982
47,"STEEBot",445,2113
47,"Goldenlamb",412,2055
48,"BetterBot",430,1704
48,"kar2008",444,1838
49,"DJosh",408,2035
49,"STEEBot",388,2186
50,"BetterBot",358,2003
50,"Zynx",419,1905
51,"STEEBot",467,1842
51,"Leo",313,1755
52,"BetterBot",421,2004
52,"Juma",444,1612
53,"UcheVictor",410,1948
53,"STEEBot",428,2152
54,"BB-8",357,1500
54,"HastyBot",422,1635
56,"BetterBot",351,1628
56,"Gtowngrad",401,1387
58,"eideticeve",389,1910
58,"HastyBot",495,2212
59,"BetterBot",426,2024
59,"audrey.lwx",379,1513
64,"STEEBot",440,2080
64,"snorkl",336,1864
66,"kar2008",287,1761
66,"BetterBot",528,1740
67,"stevy",365,1500
67,"STEEBot",454,1843
71,"BetterBot",234,1966
71,"Cromwell8",482,1830
72,"BetterBot",364,1998
72,"halidom21",401,2288
73,"BetterBot",387,1585
73,"bobcubed",326,1659
74,"BB-8",340,1500
74,"HastyBot",446,1649
75,"Affan960",526,2021
75,"STEEBot",444,2166
76,"Yracivc",390,2145
76,"STEEBot",415,2195
77,"HastyBot",374,1936
77,"thisguy",394,1817
79,"plunder1",347,1629
79,"STEEBot",373,1841
80,"HastyBot",398,2237
80,"Hetman",440,1887
81,"dystopianist",316,1714
81,"STEEBot",418,1864
83,"Banman1",260,1626
83,"STEEBot",506,1918
84,"joelimus",452,2068
84,"HastyBot",447,2057
87,"BetterBot",366,1887
87,"pandorable",390,1659
88,"STEEBot",423,1878
88,"Anita",319,1630
89,"MasterYeri",374,2011
89,"STEEBot",409,2122
95,"BetterBot",495,1916
95,"Zepthyeo",293,1332
96,"HastyBot",441,1943
96,"josh",240,1583
97,"STEEBot",509,2077
97,"Sopejohn",415,1838
98,"TrentonTron",531,1627
98,"HastyBot",628,1779
99,"wagyus",455,1974
99,"STEEBot",429,2103
101,"BB-8",327,1500
101,"HastyBot",391,1649
104,"BetterBot",570,1837
104,"pandorable",329,1762
105,"HastyBot",431,1977
105,"ccm",408,1698
106,"patricck",482,2275
106,"BetterBot",321,1967
108,"BetterBot",418,1716
108,"sassaba",331,1453
109,"BetterBot",386,2030
109,"davidavid",291,1877
111,"peter3000",457,2160
111,"HastyBot",491,2229
112,"Camelngz",465,1851
112,"STEEBot",322,2039
113,"NoelL",440,1997
113,"HastyBot",474,2219
114,"STEEBot",635,2065
114,"BeautifulWaste",236,1801
115,"Anita",282,1612
115,"STEEBot",418,1853
116,"BeanzCyclones",407,1919
116,"STEEBot",508,2164
117,"HastyBot",567,1972
117,"ccm",393,1730
118,"HastyBot",500,2272
118,"ChrisNtege",309,1977
120,"STEEBot",491,2029
120,"kushy",275,1499
122,"STEEBot",363,1893
122,"deathstar",370,1607
123,"saint",357,1977
123,"STEEBot",392,1856
124,"pisces223",314,1646
124,"STEEBot",400,1859
126,"BetterBot",424,2025
126,"yss",318,1924
127,"Trayz",380,1965
127,"STEEBot",429,2064
128,"daddyfiyin",470,1993
128,"HastyBot",451,2349
129,"BetterBot",422,1634
129,"psyadam",436,1735
132,"HastyBot",514,1614
132,"BB-8",346,1500
133,"Anita",340,1614
133,"STEEBot",463,1877
134,"gerald0506",503,1999
134,"STEEBot",450,2108
136,"NimuthuWitharana",421,2147
136,"STEEBot",372,2180
140,"buksss",355,1461
140,"BetterBot",396,2054
141,"HastyBot",331,1649
141,"BB-8",351,1500
142,"MankDemes",389,1500
142,"BetterBot",407,1976
143,"BetterBot",356,1619
143,"stevy",306,1500
144,"Banman1",375,1618
144,"STEEBot",417,1838
146,"Stanley",191,2063
146,"HastyBot",405,2231
147,"talulah",349,1576
147,"STEEBot",478,1893
148,"NishanyaGammanpila",457,1840
148,"BetterBot",367,1977
149,"HastyBot",433,2188
149,"Stanley",523,2177
150,"Galion",313,1589
150,"BetterBot",414,1798
153,"bubbat",408,1816
153,"HastyBot",455,2046
154,"lluke",344,2109
154,"BetterBot",444,1970
156,"Adhen",435,1755
156,"STEEBot",403,2106
157,"patricck",428,2178
157,"BetterBot",395,2006
158,"STEEBot",414,1868
158,"Leo",290,1710
159,"STEEBot",444,1834
159,"Willeford",388,1843
160,"BB-8",419,1500
160,"HastyBot",415,1614
163,"BetterBot",323,1697
163,"MomGoose",394,1641
164,"BetterBot",288,1751
164,"roboto",267,1500
165,"STEEBot",418,1854
165,"ooo999999",343,1388
166,"BB-8",396,1500
166,"HastyBot",499,1649
169,"STEEBot",448,2099
169,"Olympicnaija",430,1904
170,"pandorable",332,1640
170,"BetterBot",397,1848
171,"BetterBot",357,1704
171,"ruby43",471,1590
172,"royster",414,1784
172,"HastyBot",515,1999
174,"BetterBot",452,1694
174,"Kovert",339,1764
176,"BB-8",268,1500
176,"HastyBot",478,1649
178,"HastyBot",417,1961
178,"BethMix",376,1493
179,"BetterBot",370,1978
179,"Modupe",353,1910
180,"HastyBot",376,1614
180,"BB-8",412,1500
181,"BetterBot",425,1667
181,"Bingobabe",322,1424
182,"BetterBot",429,1675
182,"kar2008",447,1842
183,"HastyBot",288,1640
183,"BB-8",382,1500
185,"Rexington",375,2116
185,"STEEBot",479,2080
186,"STEEBot",410,2137
186,"NatthanonL",470,2031
187,"STEEBot",461,2179
187,"Olympicnaija",424,1926
189,"Lola",434,1965
189,"STEEBot",498,2148
190,"HastyBot",444,2059
190,"royster",399,1734
192,"FuriousTiles",377,1807
192,"HastyBot",431,2047
193,"kar2008",422,1699
193,"BetterBot",376,1685
194,"STEEBot",457,2092
194,"Goldenlamb",516,1935
